id,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,SEASON
terr_rozier_bos_18,Terry Rozier,BOS,24.0,80,0.675,25.9,104.3,101.6,2.6,0.184,2.9,0.087,0.52,0.199,0.118,4209,4.0,10.0,0.395,2017-18
terr_rozier_bos_19,Terry Rozier,BOS,25.0,79,0.595,22.7,104.8,105.9,-1.1,0.193,3.4,0.08,0.501,0.181,0.103,3767,3.3,8.4,0.387,2018-19
terr_rozier_cho_20,Terry Rozier,CHA,26.0,63,0.333,34.4,104.5,113.4,-9.0,0.209,1.84,0.062,0.553,0.232,0.103,4354,6.3,14.9,0.423,2019-20
terr_rozier_cho_21,Terry Rozier,CHA,27.0,69,0.464,34.5,110.9,112.9,-2.0,0.193,2.29,0.061,0.575,0.238,0.113,4953,7.4,16.4,0.45,2020-21
terr_rozier_cho_22,Terry Rozier,CHA,28.0,73,0.521,33.7,113.3,112.0,1.4,0.197,3.4,0.061,0.566,0.227,0.114,5175,7.1,16.0,0.444,2021-22
terr_rozier_cho_23,Terry Rozier,CHA,29.0,63,0.302,35.3,109.3,115.6,-6.2,0.22,2.38,0.056,0.517,0.262,0.101,4716,7.8,18.9,0.415,2022-23
terr_rozier_tot_24,Terry Rozier,TOT,30.0,61,0.361,33.4,110.2,117.2,-7.0,0.268,3.23,0.062,0.555,0.253,0.117,4184,7.2,16.4,0.443,2023-24
terr_rozier_mia_25,Terry Rozier,MIA,31.0,64,0.422,25.9,107.3,112.3,-4.9,0.152,2.14,0.068,0.497,0.195,0.078,3437,3.9,9.9,0.391,2024-25
terr_taylor_ind_22,Terry Taylor,IND,22.0,33,0.212,21.6,112.2,119.1,-6.9,0.081,1.78,0.123,0.656,0.151,0.097,1514,4.1,6.7,0.614,2021-22
thab_sefolosha_atl_17,Thabo Sefolosha,ATL,33.0,62,0.516,25.7,102.9,104.3,-1.4,0.099,1.84,0.083,0.519,0.131,0.086,3282,2.8,6.4,0.441,2016-17
