id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason,age,gp,w_pct,min,off_rating,def_rating,net_rating,ast_pct,ast_to,reb_pct,ts_pct,usg_pct,pie,poss,fgm_pg,fga_pg,fg_pct,total_minutes,analysis_sample
abde_nader_pho_21,Abdel Nader,PHO,2021,2020-21,1752950.0,109140000.0,1.61,bench,8.305736104589378,0,1,0,0,27.0,24,0.667,14.8,106.7,101.7,5.0,0.078,1.0,0.088,0.605,0.183,0.092,757,2.4,4.8,0.491,355.20000000000005,False
abde_nader_pho_22,Abdel Nader,PHO,2022,2021-22,2000000.0,112414000.0,1.78,bench,14.093385435979355,0,0,0,0,28.0,14,0.786,10.4,95.1,96.0,-0.9,0.065,0.64,0.087,0.431,0.139,0.036,327,0.9,2.5,0.343,145.6,False
ace_bailey_uta_26,Ace Bailey,UTA,2026,2025-26,9069840.0,154647000.0,5.86,bench,,0,0,0,0,19.0,72,0.264,27.6,109.8,120.4,-10.7,0.098,1.22,0.072,0.533,0.21,0.069,4337,5.5,12.4,0.443,1987.2,True
adem_bona_phi_26,Adem Bona,PHI,2026,2025-26,1955377.0,154647000.0,1.26,bench,,0,0,0,0,23.0,71,0.577,17.4,113.1,112.9,0.3,0.034,0.57,0.119,0.638,0.108,0.069,2625,1.8,3.1,0.595,1235.3999999999999,True
ajay_mitchell_okc_25,Ajay Mitchell,OKC,2025,2024-25,3000000.0,140588000.0,2.13,bench,,0,0,0,0,23.0,36,0.861,16.6,110.0,100.2,9.7,0.153,2.21,0.053,0.587,0.159,0.082,1254,2.5,5.1,0.495,597.6,True
ajay_mitchell_okc_26,Ajay Mitchell,OKC,2026,2025-26,3000000.0,154647000.0,1.94,bench,0.0,0,0,0,0,23.0,57,0.877,25.8,118.2,102.5,15.6,0.194,2.54,0.062,0.585,0.21,0.116,3149,5.0,10.4,0.485,1470.6000000000001,True
al_horford_bos_17,Al Horford,BOS,2017,2016-17,26540100.0,94143000.0,28.19,max,,1,0,0,0,31.0,68,0.676,32.3,112.1,107.2,4.8,0.239,2.93,0.105,0.553,0.196,0.125,4464,5.6,11.8,0.473,2196.3999999999996,True
al_horford_bos_18,Al Horford,BOS,2018,2017-18,27734405.0,99030000.0,28.01,max,4.500001883941662,1,0,0,0,32.0,72,0.653,31.6,108.9,101.6,7.3,0.225,2.57,0.115,0.575,0.183,0.134,4617,5.1,10.5,0.489,2275.2000000000003,True
al_horford_bos_19,Al Horford,BOS,2019,2018-19,28928710.0,101869000.0,28.4,max,4.306221820875544,1,0,0,0,33.0,68,0.603,29.0,112.5,106.4,6.1,0.203,2.77,0.113,0.605,0.188,0.134,4146,5.7,10.6,0.535,1972.0,True
al_horford_phi_20,Al Horford,PHI,2020,2019-20,28000000.0,109140000.0,25.66,max,-3.210340177629767,1,1,0,0,34.0,67,0.582,30.2,110.1,106.8,3.3,0.187,3.38,0.111,0.536,0.173,0.112,4241,4.8,10.6,0.45,2023.3999999999999,True
al_horford_bos_22,Al Horford,BOS,2022,2021-22,27000000.0,112414000.0,24.02,star,-1.8181818181818188,0,1,0,0,36.0,69,0.667,29.1,112.8,103.4,9.3,0.159,3.57,0.13,0.574,0.147,0.123,4096,3.9,8.2,0.467,2007.9,True
al_horford_bos_23,Al Horford,BOS,2023,2022-23,26500000.0,123655000.0,21.43,star,-1.851851851851849,0,0,0,0,37.0,63,0.698,30.5,118.9,111.1,7.8,0.128,5.11,0.101,0.631,0.119,0.095,3991,3.6,7.6,0.476,1921.5,True
al_horford_bos_24,Al Horford,BOS,2024,2023-24,10000000.0,136021000.0,7.35,bench,-62.264150943396224,0,0,0,0,38.0,65,0.785,26.8,120.9,109.5,11.4,0.124,3.5,0.116,0.65,0.119,0.105,3585,3.3,6.4,0.511,1742.0,True
al_horford_bos_25,Al Horford,BOS,2025,2024-25,9500000.0,140588000.0,6.76,bench,-5.000000000000004,0,0,0,0,39.0,60,0.733,27.6,119.6,108.1,11.5,0.102,2.78,0.106,0.563,0.136,0.091,3381,3.3,7.7,0.423,1656.0,True
al_horford_gsw_26,Al Horford,GSW,2026,2025-26,5685000.0,154647000.0,3.68,bench,-40.1578947368421,0,1,0,0,40.0,45,0.489,21.5,112.7,113.5,-0.9,0.171,2.76,0.111,0.554,0.163,0.104,2045,3.1,7.2,0.426,967.5,True
al_jefferson_ind_17,Al Jefferson,IND,2017,2016-17,10230179.0,94143000.0,10.87,starter,,0,0,0,0,32.0,66,0.5,14.1,102.2,107.6,-5.4,0.114,1.73,0.148,0.526,0.254,0.133,1886,3.6,7.1,0.499,930.6,True
al_jefferson_ind_18,Al Jefferson,IND,2018,2017-18,9769821.0,99030000.0,9.87,starter,-4.499999462375004,0,0,0,0,33.0,36,0.472,13.4,105.4,107.2,-1.8,0.098,1.43,0.144,0.563,0.218,0.135,991,3.1,5.8,0.534,482.40000000000003,False
al-f_aminu_por_17,Al-Farouq Aminu,POR,2017,2016-17,7680965.0,94143000.0,8.16,starter,,0,0,0,0,26.0,61,0.541,29.1,108.1,107.1,0.9,0.082,1.05,0.126,0.506,0.155,0.092,3601,3.0,7.6,0.393,1775.1000000000001,True
al-f_aminu_por_18,Al-Farouq Aminu,POR,2018,2017-18,7319035.0,99030000.0,7.39,bench,-4.712038135833197,0,0,0,0,27.0,69,0.58,30.0,109.6,104.4,5.2,0.056,1.06,0.121,0.522,0.145,0.09,4250,3.3,8.4,0.395,2070.0,True
