id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
desm_bane_orl_25,27.0,69,0.551,32.0,116.1,113.3,2.8,0.235,2.18,0.088,0.6,0.227,0.131,4809,7.1,14.8,0.484
devi_cannady_orl_22,26.0,5,0.4,28.9,107.0,109.6,-2.6,0.102,2.0,0.019,0.531,0.156,0.044,298,3.0,8.8,0.341
devi_harris_tot_18,35.0,71,0.465,18.9,109.4,105.3,4.1,0.165,2.0,0.047,0.563,0.194,0.076,2788,2.6,6.4,0.412
devi_robinson_was_18,23.0,1,0.0,13.2,113.8,85.2,28.6,0.0,0.0,0.152,0.333,0.083,0.085,29,1.0,3.0,0.333
devi_robinson_was_19,24.0,7,0.143,13.5,111.1,112.8,-1.7,0.095,3.0,0.099,0.616,0.176,0.112,198,2.7,4.6,0.594
devo_graham_cho_19,24.0,46,0.391,14.7,104.5,111.8,-7.3,0.266,4.03,0.044,0.459,0.166,0.068,1426,1.6,4.7,0.343
devo_graham_tot_23,28.0,73,0.425,18.3,107.5,113.7,-6.2,0.207,3.7,0.045,0.552,0.165,0.083,2857,2.2,5.9,0.374
dewa_dedmon_tot_20,30.0,44,0.386,17.6,107.4,108.1,-0.7,0.041,0.39,0.157,0.473,0.179,0.065,1609,2.3,5.8,0.4
dewa_dedmon_mia_21,31.0,16,0.688,13.2,121.3,104.2,17.1,0.083,0.92,0.21,0.735,0.183,0.149,428,2.9,4.1,0.708
dewa_dedmon_mia_22,32.0,67,0.642,15.9,109.5,106.0,3.5,0.069,0.67,0.178,0.632,0.164,0.113,2169,2.4,4.3,0.566
deyo_davis_atl_19,22.0,9,0.333,13.2,97.8,107.6,-9.8,0.063,1.67,0.122,0.682,0.099,0.108,268,1.7,2.4,0.682
didi_louzada_nop_21,21.0,3,0.0,18.8,102.5,109.8,-7.3,0.073,1.0,0.023,0.308,0.114,-0.012,120,1.0,4.3,0.231
didi_louzada_tot_22,22.0,9,0.0,14.4,83.0,112.1,-29.1,0.07,1.0,0.063,0.517,0.13,0.042,271,1.3,3.7,0.364
dill_brooks_mem_18,22.0,82,0.268,28.7,102.4,107.4,-5.0,0.092,1.09,0.056,0.531,0.184,0.063,4690,4.1,9.4,0.44
doma_sabonis_tot_22,26.0,62,0.339,34.4,109.5,110.1,-0.6,0.239,1.66,0.176,0.637,0.221,0.161,4420,7.1,12.5,0.573
domi_barlow_sas_23,20.0,28,0.179,14.6,105.2,115.9,-10.7,0.079,1.6,0.115,0.567,0.107,0.064,887,1.6,3.1,0.535
domi_barlow_sas_24,21.0,33,0.212,12.7,113.3,117.8,-4.5,0.114,4.0,0.13,0.548,0.139,0.084,888,1.7,3.4,0.496
domi_barlow_atl_25,22.0,35,0.371,10.7,110.2,111.8,-1.6,0.07,3.8,0.114,0.58,0.141,0.082,823,1.7,3.2,0.531
dona_motiejunas_nop_17,26.0,34,0.471,14.1,101.7,112.8,-11.1,0.096,1.03,0.104,0.47,0.168,0.053,1018,1.7,4.1,0.413
dont_hall_tot_20,22.0,9,0.444,14.8,102.5,114.5,-12.0,0.048,0.8,0.139,0.652,0.109,0.071,281,1.7,2.4,0.682
dont_hall_orl_21,23.0,13,0.231,13.8,97.9,104.5,-6.5,0.102,1.38,0.16,0.731,0.135,0.145,388,1.9,2.7,0.714
dont_divincenzo_tot_22,25.0,42,0.5,23.9,107.5,111.2,-3.7,0.167,1.64,0.082,0.51,0.187,0.08,2155,2.8,8.0,0.351
dori_finney-smith_dal_17,24.0,81,0.407,20.3,103.2,105.5,-2.3,0.061,1.49,0.071,0.486,0.115,0.049,3184,1.5,4.1,0.372
dori_finney-smith_tot_23,30.0,66,0.47,30.4,114.0,114.3,-0.3,0.07,1.61,0.079,0.523,0.129,0.056,4057,3.0,7.6,0.391
dori_finney-smith_tot_25,32.0,63,0.571,28.9,119.1,110.3,8.8,0.066,1.61,0.069,0.604,0.123,0.06,3711,3.1,6.9,0.448
doug_mcdermott_tot_17,25.0,66,0.53,22.8,107.3,109.1,-1.8,0.06,1.53,0.058,0.554,0.162,0.077,3047,3.4,7.5,0.447
doug_mcdermott_tot_18,26.0,81,0.37,21.8,103.9,105.1,-1.2,0.065,1.41,0.055,0.579,0.144,0.069,3661,2.9,6.3,0.467
doug_mcdermott_tot_24,32.0,64,0.344,14.1,111.6,120.9,-9.3,0.097,2.5,0.032,0.6,0.144,0.054,1970,1.9,4.4,0.433
drew_eubanks_sas_20,23.0,22,0.591,12.4,101.5,112.5,-11.0,0.089,0.71,0.151,0.682,0.15,0.104,606,2.0,3.0,0.642
drew_eubanks_tot_25,28.0,61,0.41,12.2,106.7,114.8,-8.1,0.11,1.32,0.145,0.622,0.149,0.111,1598,1.9,3.2,0.593
drew_peterson_cho_26,26.0,6,0.167,10.7,103.1,110.7,-7.6,0.044,0.0,0.069,0.148,0.108,0.0,131,0.3,2.7,0.125
drew_timme_brk_25,24.0,9,0.333,28.2,102.8,115.5,-12.6,0.137,1.33,0.123,0.5,0.205,0.086,531,5.0,11.3,0.441
dru_smith_tot_23,25.0,15,0.467,10.6,100.3,109.1,-8.8,0.206,7.33,0.072,0.475,0.133,0.076,332,1.2,3.0,0.4
dru_smith_mia_25,27.0,14,0.571,19.2,107.3,100.5,6.8,0.128,1.35,0.064,0.656,0.131,0.082,562,2.2,4.4,0.508
duan_washington_ind_22,22.0,48,0.25,20.2,110.2,116.1,-5.9,0.128,1.49,0.042,0.521,0.214,0.064,2083,3.6,8.9,0.405
duan_washington_nyk_23,23.0,31,0.548,12.7,107.4,107.9,-0.5,0.26,1.85,0.042,0.458,0.298,0.08,837,3.0,8.3,0.367
dunc_robinson_mia_19,25.0,15,0.467,10.7,98.0,108.8,-10.9,0.045,1.25,0.052,0.514,0.134,0.055,343,1.2,3.1,0.391
