id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason
niko_mirotic_nop_18,Nikola Mirotic,NOP,2018,2017-18,12500000.0,99030000.0,12.62,starter,116.1713460557376,0,1,0,0
niko_mirotic_mil_19,Nikola Mirotić,MIL,2019,2018-19,12500000.0,101869000.0,12.27,starter,,0,0,0,0
niko_pekovic_min_17,Nikola Pekovic,MIN,2017,2016-17,12100000.0,94143000.0,12.85,starter,,0,0,0,0
niko_topic_okc_25,Nikola Topić,OKC,2025,2024-25,4935960.0,140588000.0,3.51,bench,,0,0,0,0
niko_vucevic_chi_21,Nikola Vučević,CHI,2021,2020-21,26000000.0,109140000.0,23.82,star,-7.14285714285714,0,1,0,0
niko_vucevic_bos_26,Nikola Vučević,BOS,2026,2025-26,21481481.0,154647000.0,13.89,starter,7.407404999999989,0,1,0,0
noa_essengue_chi_26,Noa Essengue,CHI,2026,2025-26,5429520.0,154647000.0,3.51,bench,,0,0,0,0
noah_vonleh_chi_18,Noah Vonleh,CHI,2018,2017-18,3505233.0,99030000.0,3.54,bench,27.40001308443825,0,1,0,0
noah_vonleh_den_20,Noah Vonleh,DEN,2020,2019-20,2000000.0,109140000.0,1.83,bench,23.34905005812824,0,1,0,0
norm_powell_por_21,Norman Powell,POR,2021,2020-21,10865952.0,109140000.0,9.96,starter,7.407407407407418,0,1,1,0
norm_powell_lac_22,Norman Powell,LAC,2022,2021-22,15517242.0,112414000.0,13.8,starter,42.806097431683845,0,1,0,0
og_anunoby_nyk_24,OG Anunoby,NYK,2024,2023-24,18642857.0,136021000.0,13.71,starter,7.407405700350567,0,1,1,0
ocha_agbaji_tor_24,Ochai Agbaji,TOR,2024,2023-24,4114200.0,136021000.0,3.02,bench,4.9980093712675755,0,1,0,0
ocha_agbaji_brk_26,Ochai Agbaji,BRK,2026,2025-26,6383525.0,154647000.0,4.13,bench,48.100007424111666,0,1,0,0
okar_white_tot_18,Okaro White,TOT,2018,2017-18,1423849.0,99030000.0,1.44,bench,,0,0,0,1
